id,name,country,is_active,created_at,updated_at
1,Yamaha Marine,,TRUE,2026-09-08 15:24:40,2026-11-01 09:59:16
2,Mercury Marine,BR,TRUE,2026-07-09 16:56:46,2026-07-25 14:53:22
3,Suzuki Marine,DE,TRUE,2022-02-13 04:36:48,2022-08-28 22:40:17
4,Honda Marine,,TRUE,2024-07-10 01:55:50,2025-05-01 09:37:42
5,Garmin,,TRUE,2022-03-16 16:02:06,2025-10-16 16:00:12
6,Raymarine,,TRUE,2022-05-21 09:58:30,2025-02-07 10:23:50
7,Lowrance,IT,TRUE,2025-09-23 11:42:33,2026-01-26 11:58:44
8,Simrad,,TRUE,2022-08-08 11:40:05,2025-06-28 23:10:26
9,Volvo Penta,JP,TRUE,2023-03-15 23:11:01,2024-05-04 15:55:03
10,MaxSea,JP,TRUE,2024-01-02 23:50:21,2024-09-26 07:48:56
11,BR Náutica,IT,TRUE,2025-10-12 07:32:27,2026-06-05 04:30:41
12,Marisul,BR,TRUE,2026-01-19 02:43:24,2026-12-07 03:03:24
