id,order_id,nfe_number,nfe_access_key,series,issued_at,status,total_amount,xml_storage_uri,created_at,updated_at
1,1,NFE000000001,92111513888805458765558030542916020723242655,001,2022-09-06 15:20:37,authorized,287.77,s3://lh-nautical-nfe/92111513888805458765558030542916020723242655.xml,2022-09-06 15:20:37,2022-09-06 15:20:37
2,2,NFE000000002,31005218497500379382647168202665916236559159,001,2023-02-03 11:22:21,authorized,53199.05,s3://lh-nautical-nfe/31005218497500379382647168202665916236559159.xml,2023-02-03 11:22:21,2023-02-03 11:22:21
3,4,NFE000000003,92519324674434850870988051196135041596499751,001,2024-03-13 08:12:36,authorized,10429.88,s3://lh-nautical-nfe/92519324674434850870988051196135041596499751.xml,2024-03-13 08:12:36,2024-03-13 08:12:36
4,6,NFE000000004,21275986422486403361838540285414642129641654,001,2026-08-28 21:07:58,authorized,52683.82,s3://lh-nautical-nfe/21275986422486403361838540285414642129641654.xml,2026-08-28 21:07:58,2026-08-28 21:07:58
5,7,NFE000000005,96005668001723576306124414355811369394844337,001,2026-10-29 09:32:37,authorized,57270.24,s3://lh-nautical-nfe/96005668001723576306124414355811369394844337.xml,2026-10-29 09:32:37,2026-10-29 09:32:37
7,11,NFE000000007,06266283934592065787887125312902262469380188,001,2026-04-17 13:30:24,authorized,11680.74,s3://lh-nautical-nfe/06266283934592065787887125312902262469380188.xml,2026-04-17 13:30:24,2026-04-17 13:30:24
8,13,NFE000000008,12741581207519965424543360804559482730311597,001,2021-05-19 08:41:50,authorized,12208.70,s3://lh-nautical-nfe/12741581207519965424543360804559482730311597.xml,2021-05-19 08:41:50,2021-05-19 08:41:50
9,14,NFE000000009,33473650154523128452188202863272127754382624,001,2023-02-27 09:03:43,authorized,33165.28,s3://lh-nautical-nfe/33473650154523128452188202863272127754382624.xml,2023-02-27 09:03:43,2023-02-27 09:03:43
10,16,NFE000000010,58573978607772014050781341221237925515390865,001,2020-06-09 21:51:07,authorized,36122.08,s3://lh-nautical-nfe/58573978607772014050781341221237925515390865.xml,2020-06-09 21:51:07,2020-06-09 21:51:07
11,17,NFE000000011,32111801135182355846721516252696491152140156,001,2021-10-07 21:40:25,cancelled,43545.45,s3://lh-nautical-nfe/32111801135182355846721516252696491152140156.xml,2021-10-07 21:40:25,2021-10-07 21:40:25
12,18,NFE000000012,74686351388089065903906002600200604919218425,001,2022-02-28 20:12:45,authorized,50483.19,s3://lh-nautical-nfe/74686351388089065903906002600200604919218425.xml,2022-02-28 20:12:45,2022-02-28 20:12:45
13,19,NFE000000013,41337704851327816272308178482953386540096197,001,2025-05-23 05:14:52,authorized,14084.90,s3://lh-nautical-nfe/41337704851327816272308178482953386540096197.xml,2025-05-23 05:14:52,2025-05-23 05:14:52
14,20,NFE000000014,55091896130884855569715605003126275609636451,001,2020-02-23 00:23:55,authorized,9066.23,s3://lh-nautical-nfe/55091896130884855569715605003126275609636451.xml,2020-02-23 00:23:55,2020-02-23 00:23:55
15,21,NFE000000015,95085721472788290634770824185315379970852941,001,2026-12-28 11:36:52,authorized,11731.56,s3://lh-nautical-nfe/95085721472788290634770824185315379970852941.xml,2026-12-28 11:36:52,2026-12-28 11:36:52
16,23,NFE000000016,89199162180027905993238656603904980334903261,001,2023-09-14 06:24:13,rejected,16056.25,s3://lh-nautical-nfe/89199162180027905993238656603904980334903261.xml,2023-09-14 06:24:13,2023-09-14 06:24:13
18,27,NFE000000018,45026147500294270091247909112056637624412816,001,2020-12-11 17:13:35,authorized,43243.87,s3://lh-nautical-nfe/45026147500294270091247909112056637624412816.xml,2020-12-11 17:13:35,2020-12-11 17:13:35
19,28,NFE000000019,22680817519801759993399846762257416310829552,001,2026-12-25 04:50:07,authorized,39112.63,s3://lh-nautical-nfe/22680817519801759993399846762257416310829552.xml,2026-12-25 04:50:07,2026-12-25 04:50:07
20,30,NFE000000020,45492791811254380502338746989246133380543668,001,2022-11-21 16:41:29,authorized,25127.63,s3://lh-nautical-nfe/45492791811254380502338746989246133380543668.xml,2022-11-21 16:41:29,2022-11-21 16:41:29
21,31,NFE000000021,27405587097077958662280383466476099925176490,001,2022-01-25 07:34:59,authorized,11228.05,s3://lh-nautical-nfe/27405587097077958662280383466476099925176490.xml,2022-01-25 07:34:59,2022-01-25 07:34:59
22,32,NFE000000022,53826610763566975326245358494543008299188341,001,2024-02-21 13:56:25,authorized,40254.82,s3://lh-nautical-nfe/53826610763566975326245358494543008299188341.xml,2024-02-21 13:56:25,2024-02-21 13:56:25
23,33,NFE000000023,00190237455682741239124724682498253633305737,001,2023-09-19 14:07:55,cancelled,45235.95,s3://lh-nautical-nfe/00190237455682741239124724682498253633305737.xml,2023-09-19 14:07:55,2023-09-19 14:07:55
24,34,NFE000000024,34369784393256623501082220117623048760938368,001,2024-11-23 16:54:08,authorized,22653.41,s3://lh-nautical-nfe/34369784393256623501082220117623048760938368.xml,2024-11-23 16:54:08,2024-11-23 16:54:08
25,35,NFE000000025,26271035205576207649839538582318536576467847,001,2025-12-06 22:03:58,cancelled,34758.52,s3://lh-nautical-nfe/26271035205576207649839538582318536576467847.xml,2025-12-06 22:03:58,2025-12-06 22:03:58
26,36,NFE000000026,98929384968517876669009522222842000193877589,001,2021-10-01 19:59:08,authorized,15026.31,s3://lh-nautical-nfe/98929384968517876669009522222842000193877589.xml,2021-10-01 19:59:08,2021-10-01 19:59:08
27,37,NFE000000027,21429447624613885722719663937335393335966168,001,2025-01-23 11:33:27,authorized,55263.64,s3://lh-nautical-nfe/21429447624613885722719663937335393335966168.xml,2025-01-23 11:33:27,2025-01-23 11:33:27
28,38,NFE000000028,85708825933257417042246310040540874291266107,001,2023-12-28 08:17:10,authorized,62394.83,s3://lh-nautical-nfe/85708825933257417042246310040540874291266107.xml,2023-12-28 08:17:10,2023-12-28 08:17:10
29,40,NFE000000029,34559721008235156230960503324775142257918305,001,2023-10-14 22:41:32,authorized,15725.02,s3://lh-nautical-nfe/34559721008235156230960503324775142257918305.xml,2023-10-14 22:41:32,2023-10-14 22:41:32
30,43,NFE000000030,58765372247886003615267579681186651858554904,001,2024-08-06 03:45:16,authorized,33341.39,s3://lh-nautical-nfe/58765372247886003615267579681186651858554904.xml,2024-08-06 03:45:16,2024-08-06 03:45:16
31,44,NFE000000031,80480654675144401352696682718019963886072915,001,2021-10-29 13:21:11,authorized,37502.44,s3://lh-nautical-nfe/80480654675144401352696682718019963886072915.xml,2021-10-29 13:21:11,2021-10-29 13:21:11
32,45,NFE000000032,30903037825501011725968671879856916554567311,001,2024-11-02 23:14:29,authorized,35909.02,s3://lh-nautical-nfe/30903037825501011725968671879856916554567311.xml,2024-11-02 23:14:29,2024-11-02 23:14:29
33,46,NFE000000033,08033888720610171213138352710689103987120765,001,2024-01-19 01:44:16,authorized,39418.25,s3://lh-nautical-nfe/08033888720610171213138352710689103987120765.xml,2024-01-19 01:44:16,2024-01-19 01:44:16
34,47,NFE000000034,04461637960357937713193901079766087642236838,001,2024-01-15 19:34:33,authorized,30256.71,s3://lh-nautical-nfe/04461637960357937713193901079766087642236838.xml,2024-01-15 19:34:33,2024-01-15 19:34:33
35,51,NFE000000035,11061674413275514201981156490695554304191358,001,2023-05-17 15:40:43,authorized,20640.35,s3://lh-nautical-nfe/11061674413275514201981156490695554304191358.xml,2023-05-17 15:40:43,2023-05-17 15:40:43
36,52,NFE000000036,18121652799295303164206356265493016846620008,001,2023-03-04 20:24:08,authorized,37551.07,s3://lh-nautical-nfe/18121652799295303164206356265493016846620008.xml,2023-03-04 20:24:08,2023-03-04 20:24:08
37,53,NFE000000037,97001975721288411743981150558833810116833536,001,2020-12-31 09:39:17,authorized,23589.72,s3://lh-nautical-nfe/97001975721288411743981150558833810116833536.xml,2020-12-31 09:39:17,2020-12-31 09:39:17
38,55,NFE000000038,01892858921449336263568806760317175999047549,001,2026-12-17 03:13:36,authorized,28163.27,s3://lh-nautical-nfe/01892858921449336263568806760317175999047549.xml,2026-12-17 03:13:36,2026-12-17 03:13:36
