id,goods_receipt_id,purchase_order_item_id,quantity_received
1,1,1,5.000
2,1,2,4.620
3,1,3,3.300
4,2,8,19
5,2,9,41
6,2,10,35
7,2,11,32
8,3,12,9
9,3,13,6
10,3,14,26
11,3,15,39
12,4,16,7
13,5,17,4
14,6,18,8.000
15,6,19,9.240
16,6,20,1.200
17,6,21,6.300
18,7,22,44
19,7,23,2
20,7,24,28
21,7,25,9
22,8,26,7
23,8,27,19
24,8,28,30
25,9,32,47
26,10,38,16
27,10,39,43
28,10,40,18
29,11,41,32
30,11,42,16
31,12,43,10.800
32,12,44,4.810
33,12,45,19.360
34,13,46,39
35,13,47,44
36,14,48,22
37,14,49,30
38,14,50,18
39,15,51,16
40,16,52,34
41,16,53,8
42,16,54,8
43,16,55,27
44,17,56,26
45,17,57,36
46,18,58,45
47,18,59,9
48,18,60,17
49,18,61,29
50,18,62,1
51,19,63,10.080
52,19,64,31.050
53,19,65,1.470
54,19,66,1.800
55,19,67,1.380
56,20,68,0.440
57,20,69,14.400
58,20,70,15.000
59,20,71,9.620
60,20,72,17.480
61,21,75,19
62,21,76,20
63,22,77,31
64,22,78,29
65,22,79,3
66,22,80,49
67,22,81,37
68,23,82,9.400
69,24,83,8.550
70,25,84,13
71,25,85,23
72,25,86,46
73,25,87,16
74,26,88,1
75,26,89,11
76,26,90,49
77,26,91,12
78,26,92,42
79,27,94,15
80,27,95,50
81,27,96,49
82,27,97,35
83,27,98,41
84,28,99,25
85,29,104,11
86,29,105,12
87,29,106,23
88,29,107,45
89,29,108,30
90,30,109,4
91,30,110,19
92,30,111,20
93,30,112,6
94,31,113,44
95,31,114,30
96,31,115,50
97,31,116,40
98,32,117,4.940
99,32,118,3.200
100,32,119,22.140
101,32,120,5.320
102,32,121,6.440
103,33,122,12
104,34,123,18.060
105,34,124,7.540
106,34,125,29.520
107,34,126,20.500
108,34,127,1.560
109,35,128,6.600
110,35,129,9.000
111,35,130,11.000
112,35,131,3.300
113,36,133,10.320
114,36,134,33.930
115,37,143,12
116,37,144,8
