id,purchase_order_id,received_by_employee_id,received_at,notes,created_at
1,1,4,2024-09-12 03:24:36,,2024-09-12 03:24:36
2,4,1,2022-02-02 18:35:15,,2022-02-02 18:35:15
3,5,7,2026-09-19 11:34:54,,2026-09-19 11:34:54
4,6,7,2025-10-18 09:05:29,,2025-10-18 09:05:29
5,7,3,2024-07-21 12:05:29,,2024-07-21 12:05:29
6,8,7,2026-01-15 00:36:09,ok,2026-01-15 00:36:09
7,9,2,2021-11-20 20:28:22,,2021-11-20 20:28:22
8,10,7,2023-12-16 05:54:07,,2023-12-16 05:54:07
9,12,7,2024-07-11 08:07:30,,2024-07-11 08:07:30
10,15,7,2020-08-18 03:19:03,,2020-08-18 03:19:03
11,16,1,2023-10-08 06:48:17,,2023-10-08 06:48:17
12,17,5,2025-10-02 05:28:04,,2025-10-02 05:28:04
13,18,3,2024-09-24 14:36:43,,2024-09-24 14:36:43
14,19,4,2024-03-18 19:20:43,,2024-03-18 19:20:43
15,20,4,2020-02-27 02:44:53,,2020-02-27 02:44:53
16,21,2,2023-01-08 13:34:56,,2023-01-08 13:34:56
17,22,7,2020-01-28 08:10:20,,2020-01-28 08:10:20
18,23,5,2022-03-29 00:20:17,,2022-03-29 00:20:17
19,24,3,2025-03-02 17:44:15,,2025-03-02 17:44:15
20,25,11,2022-10-20 19:14:33,,2022-10-20 19:14:33
21,27,15,2023-10-03 15:56:16,,2023-10-03 15:56:16
22,28,15,2025-07-24 05:41:19,,2025-07-24 05:41:19
23,29,13,2025-12-26 06:50:52,,2025-12-26 06:50:52
24,30,4,2026-09-16 19:08:25,,2026-09-16 19:08:25
25,31,2,2026-11-12 08:49:40,,2026-11-12 08:49:40
26,32,3,2025-10-28 10:57:04,,2025-10-28 10:57:04
27,34,3,2023-09-21 06:14:30,,2023-09-21 06:14:30
28,35,11,2022-08-21 13:40:28,,2022-08-21 13:40:28
29,37,4,2025-10-03 21:24:10,conferido,2025-10-03 21:24:10
30,38,14,2020-08-13 16:43:43,,2020-08-13 16:43:43
31,39,7,2024-11-01 15:54:29,,2024-11-01 15:54:29
32,40,7,2025-10-19 09:29:38,,2025-10-19 09:29:38
33,41,7,2020-02-15 03:28:23,,2020-02-15 03:28:23
34,42,5,2026-10-10 01:59:08,,2026-10-10 01:59:08
35,43,1,2026-09-29 01:19:26,,2026-09-29 01:19:26
36,45,15,2026-09-16 12:39:10,,2026-09-16 12:39:10
37,48,7,2026-01-15 14:15:18,,2026-01-15 14:15:18
38,50,15,2026-01-08 19:47:36,,2026-01-08 19:47:36
39,51,2,2022-07-12 18:19:55,,2022-07-12 18:19:55
40,52,7,2025-09-04 20:48:12,,2025-09-04 20:48:12
41,53,7,2021-07-21 04:14:57,,2021-07-21 04:14:57
42,54,3,2021-08-07 04:24:20,,2021-08-07 04:24:20
43,55,7,2020-07-11 13:00:22,,2020-07-11 13:00:22
44,56,15,2023-02-28 13:07:08,,2023-02-28 13:07:08
45,57,5,2026-09-29 05:50:26,,2026-09-29 05:50:26
46,59,13,2021-03-08 07:30:43,,2021-03-08 07:30:43
47,60,13,2020-07-11 13:33:10,,2020-07-11 13:33:10
48,61,4,2025-11-21 19:15:22,,2025-11-21 19:15:22
49,63,14,2023-09-10 03:02:43,,2023-09-10 03:02:43
50,64,11,2022-10-27 00:04:00,,2022-10-27 00:04:00
51,66,14,2020-12-08 11:50:48,,2020-12-08 11:50:48
52,67,3,2025-11-11 23:22:01,,2025-11-11 23:22:01
53,68,4,2022-07-03 04:54:05,,2022-07-03 04:54:05
54,71,7,2020-05-22 13:40:56,,2020-05-22 13:40:56
55,72,1,2024-02-08 06:04:59,,2024-02-08 06:04:59
56,73,2,2022-10-18 04:59:46,,2022-10-18 04:59:46
57,74,14,2026-02-27 12:25:54,,2026-02-27 12:25:54
58,76,3,2024-01-30 15:59:33,,2024-01-30 15:59:33
59,78,11,2025-03-31 13:43:17,,2025-03-31 13:43:17
60,79,3,2026-09-25 18:03:43,checar,2026-09-25 18:03:43
61,80,3,2026-09-14 12:32:48,,2026-09-14 12:32:48
62,81,5,2023-06-15 03:07:40,,2023-06-15 03:07:40
63,82,13,2025-01-08 07:27:13,,2025-01-08 07:27:13
64,83,5,2023-08-20 20:56:31,,2023-08-20 20:56:31
65,84,2,2026-09-28 22:33:17,,2026-09-28 22:33:17
66,85,7,2023-11-25 08:05:49,,2023-11-25 08:05:49
67,86,3,2021-08-10 02:27:27,,2021-08-10 02:27:27
68,88,11,2026-12-04 16:17:59,,2026-12-04 16:17:59
69,89,15,2023-01-02 08:52:24,,2023-01-02 08:52:24
70,90,13,2021-09-02 21:15:28,,2021-09-02 21:15:28
71,91,15,2026-10-04 04:55:41,,2026-10-04 04:55:41
72,94,11,2024-08-05 13:56:39,,2024-08-05 13:56:39
73,95,14,2024-07-06 11:31:09,,2024-07-06 11:31:09
74,96,13,2026-01-24 00:23:38,,2026-01-24 00:23:38
75,97,3,2024-10-12 03:00:56,,2024-10-12 03:00:56
76,98,4,2024-08-05 13:07:43,,2024-08-05 13:07:43
77,99,13,2020-10-07 11:38:24,,2020-10-07 11:38:24
78,100,7,2021-11-03 12:16:46,,2021-11-03 12:16:46
79,103,11,2020-10-03 02:26:16,,2020-10-03 02:26:16
80,104,11,2025-09-27 09:03:56,,2025-09-27 09:03:56
81,105,13,2021-07-13 19:04:56,,2021-07-13 19:04:56
82,106,7,2024-04-13 14:29:38,,2024-04-13 14:29:38
