id,order_id,product_variant_id,quantity,unit_price,icms_rate,ipi_rate,line_total
1,1,113,6,53.89,12.00,0.00,323.34
2,2,293,9,2398.41,17.00,10.00,21585.69
3,2,366,2,2697.71,17.00,10.00,5395.42
4,2,561,1,3757.73,18.00,0.00,3757.73
5,2,385,5,849.69,18.00,10.00,4248.45
6,2,180,7,2601.68,12.00,0.00,18211.76
7,3,967,7,1151.37,12.00,5.00,8059.59
8,3,355,6,407.01,18.00,10.00,2442.06
9,3,918,6,1109.29,18.00,0.00,6655.74
10,4,52,2,585.80,17.00,10.00,1171.60
11,4,989,2,3285.82,12.00,0.00,6571.64
12,4,402,2,1676.19,17.00,0.00,3352.38
13,5,595,8,1956.25,12.00,10.00,15650.00
14,5,961,7,1484.93,18.00,0.00,10394.51
15,5,385,8,849.69,18.00,10.00,6797.52
16,6,253,6,3083.67,12.00,10.00,18502.02
17,6,790,3,3901.40,17.00,10.00,11704.20
18,6,911,8,1711.49,18.00,0.00,13691.92
19,6,744,3,2928.56,18.00,10.00,8785.68
20,7,631,9,2538.86,17.00,0.00,22849.74
21,7,423,4,259.10,18.00,10.00,1036.40
22,7,603,8,2282.68,17.00,5.00,18261.44
23,7,939,7,1430.53,17.00,0.00,10013.71
24,7,954,7,729.85,17.00,0.00,5108.95
27,9,917,7,588.80,12.00,5.00,4121.60
28,10,36,7,2563.85,17.00,0.00,17946.95
29,10,977,4,2124.36,12.00,5.00,8497.44
30,11,554,3,1121.67,12.00,0.00,3365.01
31,11,713,3,2771.91,18.00,5.00,8315.73
32,12,657,5,909.81,12.00,0.00,4549.05
33,12,587,7,2399.92,18.00,5.00,16799.44
34,12,94,2,2291.44,18.00,10.00,4582.88
35,12,996,5,1225.38,12.00,5.00,6126.90
36,12,956,5,2369.21,18.00,10.00,11846.05
37,13,903,3,2783.63,17.00,10.00,8350.89
38,13,173,2,1352.38,12.00,5.00,2704.76
39,13,361,1,1153.05,18.00,0.00,1153.05
40,14,203,6,1640.39,12.00,0.00,9842.34
41,14,593,1,2583.58,17.00,0.00,2583.58
42,14,900,3,1485.46,12.00,5.00,4456.38
43,14,529,3,1891.34,12.00,0.00,5674.02
44,14,846,8,1326.12,12.00,0.00,10608.96
45,15,475,2,2250.91,17.00,0.00,4501.82
46,15,723,1,1586.88,12.00,0.00,1586.88
47,15,210,1,2795.79,12.00,10.00,2795.79
48,15,75,3,212.31,18.00,10.00,636.93
49,15,850,10,450.94,17.00,0.00,4509.40
50,16,957,7,1915.60,12.00,5.00,13409.20
51,16,922,8,2839.11,12.00,5.00,22712.88
52,17,803,7,2809.14,12.00,0.00,19663.98
53,17,283,9,2111.43,17.00,5.00,19002.87
54,17,611,2,2127.18,12.00,10.00,4254.36
55,17,218,3,208.08,18.00,5.00,624.24
56,18,318,4,1067.79,18.00,5.00,4271.16
57,18,977,10,2124.36,12.00,5.00,21243.60
58,18,474,8,2758.20,17.00,5.00,22065.60
59,18,898,3,967.61,12.00,0.00,2902.83
60,19,992,1,1149.14,12.00,10.00,1149.14
61,19,340,5,1119.77,12.00,10.00,5598.85
62,19,302,1,2557.48,17.00,10.00,2557.48
63,19,432,8,884.04,12.00,0.00,7072.32
64,20,794,5,1970.92,17.00,5.00,9854.60
65,21,884,6,1955.26,17.00,5.00,11731.56
66,22,56,6,1923.39,12.00,5.00,11540.34
67,22,433,10,1860.26,18.00,0.00,18602.60
68,22,954,3,729.85,17.00,0.00,2189.55
69,22,602,10,2133.34,18.00,5.00,21333.40
70,22,760,1,3179.38,12.00,10.00,3179.38
71,23,108,7,1501.07,18.00,5.00,10507.49
72,23,466,4,1469.11,12.00,10.00,5876.44
73,24,167,2,414.66,18.00,0.00,829.32
74,25,294,5,3564.11,18.00,0.00,17820.55
75,25,398,1,960.29,12.00,10.00,960.29
76,25,720,10,3314.63,18.00,10.00,33146.30
77,25,35,6,1255.65,18.00,5.00,7533.90
78,25,380,6,1042.47,12.00,10.00,6254.82
80,27,84,7,841.59,17.00,10.00,5891.13
81,27,482,10,1228.85,18.00,5.00,12288.50
82,27,281,10,1354.34,18.00,10.00,13543.40
83,27,509,2,2858.04,18.00,10.00,5716.08
84,27,323,2,2902.38,18.00,10.00,5804.76
85,28,1,7,2452.69,18.00,5.00,17168.83
86,28,361,5,1153.05,18.00,0.00,5765.25
87,28,974,9,1737.68,12.00,10.00,15639.12
88,28,251,1,539.43,12.00,0.00,539.43
89,29,378,10,3602.06,17.00,0.00,36020.60
90,30,385,7,849.69,18.00,10.00,5947.83
91,30,113,3,53.89,12.00,0.00,161.67
92,30,852,7,2066.47,17.00,5.00,14465.29
93,30,607,2,2276.42,12.00,10.00,4552.84
94,31,612,5,2363.80,18.00,0.00,11819.00
95,32,127,4,1524.52,17.00,0.00,6098.08
96,32,654,6,689.26,12.00,0.00,4135.56
97,32,249,4,2147.93,18.00,0.00,8591.72
98,32,111,7,917.10,18.00,0.00,6419.70
99,32,758,6,2929.87,18.00,10.00,17579.22
100,33,963,1,279.53,17.00,0.00,279.53
101,33,319,10,1890.29,18.00,5.00,18902.90
102,33,206,10,253.79,17.00,5.00,2537.90
103,33,328,5,2492.10,18.00,10.00,12460.50
104,33,401,4,2763.78,18.00,5.00,11055.12
105,34,922,5,2839.11,12.00,5.00,14195.55
106,34,929,8,145.81,12.00,0.00,1166.48
107,34,576,3,2430.46,18.00,10.00,7291.38
108,35,857,8,2426.65,17.00,5.00,19413.20
109,35,569,6,207.99,18.00,10.00,1247.94
110,35,389,6,2211.43,12.00,0.00,13268.58
111,35,270,8,103.60,17.00,0.00,828.80
112,36,371,2,1309.93,17.00,10.00,2619.86
113,36,521,2,1707.44,12.00,0.00,3414.88
114,36,543,7,1284.51,17.00,5.00,8991.57
115,37,175,2,916.04,12.00,5.00,1832.08
116,37,83,2,3897.16,12.00,0.00,7794.32
117,37,360,8,1639.82,17.00,0.00,13118.56
118,37,734,6,3479.81,12.00,5.00,20878.86
119,37,946,6,2963.37,17.00,5.00,17780.22
120,38,5,4,1425.34,12.00,0.00,5701.36
121,38,146,7,2100.65,12.00,5.00,14704.55
122,38,279,10,3511.63,17.00,0.00,35116.30
123,38,105,4,2368.10,18.00,10.00,9472.40
124,39,998,1,2874.99,18.00,10.00,2874.99
125,39,707,3,314.18,17.00,0.00,942.54
126,39,905,8,1120.66,18.00,0.00,8965.28
127,39,354,4,543.46,17.00,10.00,2173.84
128,40,606,8,2160.03,18.00,0.00,17280.24
129,41,98,6,2546.18,17.00,10.00,15277.08
130,42,508,7,2240.19,17.00,10.00,15681.33
131,42,383,2,64.49,18.00,10.00,128.98
132,42,459,1,381.17,18.00,5.00,381.17
133,42,7,10,136.02,18.00,10.00,1360.20
134,42,154,7,2700.16,18.00,5.00,18901.12
135,43,833,7,54.33,17.00,10.00,380.31
136,43,594,8,1601.47,17.00,0.00,12811.76
137,43,539,2,2650.73,18.00,10.00,5301.46
138,43,586,4,2142.50,18.00,0.00,8570.00
139,43,620,2,3138.93,18.00,10.00,6277.86
140,44,676,6,2979.20,18.00,5.00,17875.20
141,44,94,4,2291.44,18.00,10.00,9165.76
142,44,446,7,351.00,12.00,0.00,2457.00
143,44,173,9,1352.38,12.00,5.00,12171.42
