id,product_id,sku,barcode_ean,sale_price,cost_price,weight_kg,icms_rate,ipi_rate,is_active,created_at,updated_at
1,1,LHN-353137,0812356442423,2452.69,1409.59,17.466,18.00,5.00,TRUE,2023-08-31 09:15:26,2026-07-29 01:56:22
2,1,LHN-424236,2876604560688,1057.68,482.96,38.9,18.00,10.00,TRUE,2020-04-29 21:48:21,2024-03-30 05:43:11
3,1,LHN-680793,4024712687768,36.65,27.15,27.526,17.00,5.00,TRUE,2024-02-03 07:46:25,2025-11-12 12:55:22
4,2,LHN-869444,6530427111637,2111.04,1486.65,10.215,12.00,10.00,TRUE,2021-02-22 18:16:39,2025-07-20 13:19:23
5,2,LHN-152723,8463512311255,1425.34,662.95,32.302,12.00,0.00,TRUE,2020-02-11 03:38:16,2025-06-20 12:14:15
6,2,LHN-833831,,2505.20,1897.88,11.387,17.00,10.00,TRUE,2026-04-19 16:01:55,2026-12-13 07:38:34
7,3,LHN-635877,,136.02,85.01,46.207,18.00,10.00,TRUE,2022-11-19 00:29:46,2023-02-08 11:34:08
8,3,LHN-825942,8874758361346,522.87,378.89,5,18.00,0.00,TRUE,2022-06-21 10:08:49,2022-10-03 04:40:29
9,4,LHN-149282,,3194.63,1655.25,16.735,18.00,10.00,TRUE,2026-02-13 17:43:22,2026-08-25 09:51:54
10,4,LHN-597798,0859294692350,1185.69,718.60,5.576,17.00,10.00,TRUE,2021-03-14 22:56:48,2023-04-02 19:38:53
11,5,LHN-139240,,1838.76,1114.40,42.148,12.00,10.00,TRUE,2022-11-14 17:04:47,2024-07-05 16:07:17
12,5,LHN-300634,,817.89,475.52,8.389,12.00,0.00,TRUE,2024-12-08 11:11:02,2026-01-11 11:56:55
13,5,LHN-673210,9543420136115,1114.92,644.46,9.03,12.00,10.00,TRUE,2022-03-28 10:25:56,2026-06-25 23:25:30
14,6,LHN-117236,6232970206722,4208.40,1994.50,26.979,18.00,5.00,TRUE,2020-12-23 10:58:08,2025-10-19 18:48:36
15,6,LHN-660514,8260397619861,725.45,352.16,18.126,12.00,5.00,TRUE,2025-11-01 10:53:40,2025-11-06 11:02:04
16,6,LHN-754714,1554679565456,1705.81,1254.27,32.164,18.00,10.00,TRUE,2025-08-27 17:06:45,2026-02-15 14:56:51
