id,name,description,brand_id,category_id,ncm_code,unit_of_measure,is_active,created_at,updated_at
1,Motor de Popa 6014,Motor de popa 4 tempos para embarcações de lazer,9,9,50675645,UN,TRUE,2023-06-07 05:32:02,2025-06-05 20:11:50
2,Vela Mestra 3870,Vela mestra em dacron para veleiros 32 pés,10,13,19180016,UN,TRUE,2026-10-15 16:00:03,2026-11-01 00:37:26
3,Tinta Antifouling 5479,Tinta antiincrustante 3.6L para casco,4,4,26507166,L,TRUE,2023-03-27 06:03:29,2026-09-11 04:08:29
4,Sonar Transducer 9933,Transdutor de sonar para profundidade,5,10,87920921,UN,TRUE,2021-11-10 09:59:03,2023-05-05 18:50:45
5,Bússola de Bordo 3641,Bússola magnética líquida com iluminação,4,6,78779264,UN,TRUE,2025-04-30 23:17:31,2026-08-29 06:22:16
6,Defensa Náutica 7487,Defensa cilíndrica em PVC,10,3,36883895,PC,TRUE,2023-04-04 06:05:59,2023-11-09 15:52:08
7,Cabo Náutico 4894,Cabo de polipropileno trançado,8,6,58571428,M,TRUE,2023-05-13 09:10:43,2025-01-13 17:55:29
8,Cabo Náutico 1373,Cabo de polipropileno trançado,4,14,13000107,M,TRUE,2026-07-11 16:45:44,2026-11-29 04:14:55
9,Tinta Antifouling 874,Tinta antiincrustante 3.6L para casco,7,5,59463492,L,TRUE,2026-09-29 11:18:19,2026-11-11 10:12:14
10,Colete Salva-Vidas 6199,Colete homologado classe III,9,14,52862023,UN,TRUE,2022-05-14 08:06:51,2023-05-28 11:26:18
11,Hélice de Alumínio 4091,Hélice 3 pás para motor de popa,1,5,82685264,UN,TRUE,2023-08-24 10:37:41,2025-10-29 09:30:07
12,Cabo Náutico 8028,Cabo de polipropileno trançado,12,14,20936775,M,TRUE,2025-09-26 21:45:04,2025-10-23 18:27:16
13,GPS Plotter 7021,GPS chartplotter com cartografia,4,4,70125519,UN,TRUE,2024-10-02 20:19:02,2025-12-02 01:51:36
14,Defensa Náutica 1161,Defensa cilíndrica em PVC,8,12,36860079,PC,TRUE,2025-07-07 18:29:47,2026-09-09 07:40:36
15,Bússola de Bordo 6287,Bússola magnética líquida com iluminação,1,9,86734561,UN,TRUE,2021-03-14 08:34:06,2024-04-21 20:17:40
16,Hélice de Alumínio 8340,Hélice 3 pás para motor de popa,3,1,37075384,UN,TRUE,2026-07-20 14:18:42,2026-12-31 15:39:17
17,GPS Plotter 3436,GPS chartplotter com cartografia,8,9,24614829,UN,TRUE,2022-11-23 14:47:37,2024-11-02 23:01:09
18,Âncora Bruce 7120,Âncora de garra tipo Bruce em aço galvanizado,5,4,30173313,UN,TRUE,2025-07-03 10:26:47,2025-12-07 19:32:27
