id,purchase_order_id,product_variant_id,quantity_ordered,unit_cost,line_total
1,1,505,20,1697.20,33944.00
2,1,679,7,1204.63,8432.41
3,1,992,33,758.28,25023.24
4,2,890,28,482.62,13513.36
5,2,57,38,1443.18,54840.84
6,3,242,26,354.28,9211.28
7,3,69,18,151.35,2724.30
8,4,834,19,77.88,1479.72
9,4,766,41,2079.57,85262.37
10,4,429,35,55.58,1945.30
11,4,414,32,287.27,9192.64
12,5,422,9,346.00,3114.00
13,5,480,6,615.03,3690.18
14,5,697,26,1850.33,48108.58
15,5,948,39,683.69,26663.91
16,6,92,7,980.79,6865.53
17,7,550,4,344.38,1377.52
18,8,908,32,1088.36,34827.52
19,8,361,11,633.84,6972.24
20,8,533,4,979.14,3916.56
21,8,462,42,1083.16,45492.72
22,9,271,44,32.72,1439.68
23,9,361,2,667.56,1335.12
24,9,296,28,407.56,11411.68
25,9,29,9,1416.84,12751.56
26,10,535,7,1825.45,12778.15
27,10,791,19,1545.22,29359.18
28,10,519,30,71.36,2140.80
29,11,655,38,676.10,25691.80
30,11,249,10,1378.92,13789.20
31,11,359,41,1774.03,72735.23
32,12,536,47,1648.61,77484.67
33,13,41,23,1118.58,25727.34
34,13,53,4,990.06,3960.24
35,14,239,47,304.46,14309.62
36,14,182,18,1113.05,20034.90
37,14,533,20,903.09,18061.80
38,15,191,16,303.03,4848.48
39,15,580,43,887.64,38168.52
40,15,231,18,1979.22,35625.96
41,16,829,32,1315.01,42080.32
42,16,984,16,269.17,4306.72
43,17,934,45,1642.35,73905.75
44,17,546,13,1482.45,19271.85
45,17,78,22,1743.73,38362.06
46,18,383,39,35.63,1389.57
47,18,370,44,904.14,39782.16
48,19,824,22,319.00,7018.00
49,19,636,30,329.56,9886.80
50,19,447,18,1111.94,20014.92
51,20,503,16,1408.27,22532.32
52,21,714,34,688.70,23415.80
53,21,699,8,2080.42,16643.36
54,21,368,8,2135.84,17086.72
55,21,258,27,1834.52,49532.04
56,22,446,26,185.25,4816.50
57,22,212,36,1267.19,45618.84
58,23,936,45,1759.66,79184.70
59,23,672,9,123.88,1114.92
60,23,413,17,1053.76,17913.92
61,23,141,29,1659.02,48111.58
62,23,409,1,376.12,376.12
63,24,649,42,1593.07,66908.94
64,24,588,45,1487.77,66949.65
65,24,750,7,453.12,3171.84
66,24,903,18,1714.21,30855.78
67,24,699,2,1736.86,3473.72
68,25,1005,4,953.00,3812.00
69,25,337,18,575.67,10362.06
70,25,210,30,1792.59,53777.70
71,25,923,37,1996.16,73857.92
72,25,264,23,934.98,21504.54
73,26,4,19,1516.38,28811.22
74,26,901,42,1088.20,45704.40
75,27,871,19,1759.53,33431.07
76,27,452,20,700.35,14007.00
77,28,529,31,1293.43,40096.33
78,28,689,29,1336.90,38770.10
79,28,835,3,519.66,1558.98
80,28,595,49,1168.67,57264.83
81,28,369,37,1680.37,62173.69
82,29,476,47,1555.11,73090.17
83,30,51,19,562.17,10681.23
84,31,867,13,1625.04,21125.52
85,31,341,23,193.31,4446.13
86,31,327,46,1226.69,56427.74
87,31,265,16,2045.42,32726.72
88,32,478,1,1664.09,1664.09
89,32,761,11,1361.97,14981.67
90,32,859,49,1100.28,53913.72
91,32,72,12,1521.95,18263.40
92,32,784,42,1367.30,57426.60
93,33,836,34,1926.19,65490.46
94,34,466,15,677.01,10155.15
95,34,442,50,48.12,2406.00
96,34,174,49,1813.66,88869.34
97,34,606,35,1644.94,57572.90
98,34,38,41,1626.43,66683.63
99,35,437,25,428.14,10703.50
100,36,734,50,1678.70,83935.00
101,36,491,15,961.69,14425.35
102,36,290,17,730.15,12412.55
103,36,78,46,1761.17,81013.82
104,37,827,11,1944.21,21386.31
105,37,438,12,751.65,9019.80
106,37,878,23,1230.14,28293.22
107,37,124,45,630.83,28387.35
108,37,769,30,52.04,1561.20
109,38,785,4,354.00,1416.00
110,38,309,19,1553.93,29524.67
111,38,633,20,765.17,15303.40
112,38,653,6,946.21,5677.26
113,39,961,44,930.22,40929.68
114,39,615,30,1370.02,41100.60
115,39,723,50,808.85,40442.50
116,39,332,40,1928.88,77155.20
117,40,848,19,1296.22,24628.18
118,40,991,20,1640.97,32819.40
119,40,196,27,704.13,19011.51
120,40,770,14,23.43,328.02
121,40,290,23,649.76,14944.48
122,41,1002,12,1798.20,21578.40
123,42,886,43,1698.96,73055.28
124,42,903,13,1556.94,20240.22
125,42,251,41,342.69,14050.29
126,42,113,41,24.87,1019.67
127,42,892,6,819.30,4915.80
128,43,842,22,575.37,12658.14
129,43,134,18,541.10,9739.80
130,43,19,25,966.66,24166.50
131,43,57,30,1636.59,49097.70
132,44,532,18,135.39,2437.02
133,45,702,43,1124.23,48341.89
134,45,372,39,1808.28,70522.92
135,46,854,21,1567.14,32909.94
136,46,116,43,1374.45,59101.35
137,46,276,37,837.85,31000.45
138,46,375,34,1440.63,48981.42
139,46,355,10,266.40,2664.00
140,47,100,30,1782.88,53486.40
141,47,603,33,1273.49,42025.17
142,47,146,7,993.03,6951.21
143,48,364,12,604.08,7248.96
144,48,548,8,587.06,4696.48
