id,po_number,supplier_id,buyer_id,destination_location_id,status,currency,subtotal,total,placed_at,expected_delivery_at,created_at,updated_at
1,PO-000001,7,5,6,partially_received,BRL,67399.65,67399.65,2024-09-07 03:24:36,2024-11-01,2024-09-07 03:24:36,2024-09-07 03:24:36
2,PO-000002,12,13,2,sent,USD,68354.20,68354.20,2024-10-02 15:39:25,2024-10-16,2024-10-02 15:39:25,2024-10-02 15:39:25
3,PO-000003,13,5,2,sent,BRL,11935.58,11935.58,2025-11-23 07:53:48,2025-12-26,2025-11-23 07:53:48,2025-11-23 07:53:48
4,PO-000004,4,13,6,received,BRL,97880.03,97880.03,2022-01-19 18:35:15,2022-03-11,2022-01-19 18:35:15,2022-01-19 18:35:15
5,PO-000005,15,5,4,received,BRL,81576.67,81576.67,2026-09-09 11:34:54,,2026-09-09 11:34:54,2026-09-09 11:34:54
6,PO-000006,2,13,2,received,BRL,6865.53,6865.53,2025-10-11 09:05:29,2025-12-07,2025-10-11 09:05:29,2025-10-11 09:05:29
7,PO-000007,15,13,3,received,BRL,1377.52,1377.52,2024-06-25 12:05:29,2024-07-07,2024-06-25 12:05:29,2024-06-25 12:05:29
8,PO-000008,4,13,4,partially_received,BRL,91209.04,91209.04,2025-12-27 00:36:09,2026-02-10,2025-12-27 00:36:09,2025-12-27 00:36:09
9,PO-000009,23,13,6,received,BRL,26938.04,26938.04,2021-11-13 20:28:22,2021-11-18,2021-11-13 20:28:22,2021-11-13 20:28:22
10,PO-000010,1,13,4,received,BRL,44278.13,44278.13,2023-12-11 05:54:07,2023-12-19,2023-12-11 05:54:07,2023-12-11 05:54:07
11,PO-000011,19,13,2,draft,BRL,112216.23,112216.23,2023-01-13 14:06:41,2023-03-02,2023-01-13 14:06:41,2023-01-13 14:06:41
12,PO-000012,3,13,3,received,BRL,77484.67,77484.67,2024-06-25 08:07:30,2024-07-06,2024-06-25 08:07:30,2024-06-25 08:07:30
13,PO-000013,22,13,4,cancelled,BRL,29687.58,29687.58,2023-11-07 14:53:06,2023-12-19,2023-11-07 14:53:06,2023-11-07 14:53:06
14,PO-000014,11,13,4,draft,BRL,52406.32,52406.32,2025-02-22 08:05:50,2025-04-04,2025-02-22 08:05:50,2025-02-22 08:05:50
15,PO-000015,13,5,6,received,BRL,78642.96,78642.96,2020-08-01 03:19:03,2020-08-29,2020-08-01 03:19:03,2020-08-01 03:19:03
16,PO-000016,4,13,3,received,BRL,46387.04,46387.04,2023-09-22 06:48:17,,2023-09-22 06:48:17,2023-09-22 06:48:17
17,PO-000017,11,5,2,partially_received,BRL,131539.66,131539.66,2025-09-24 05:28:04,2025-10-12,2025-09-24 05:28:04,2025-09-24 05:28:04
18,PO-000018,17,5,1,received,BRL,41171.73,41171.73,2024-09-05 14:36:43,2024-09-27,2024-09-05 14:36:43,2024-09-05 14:36:43
19,PO-000019,11,5,1,received,BRL,36919.72,36919.72,2024-02-29 19:20:43,2024-04-09,2024-02-29 19:20:43,2024-02-29 19:20:43
20,PO-000020,11,5,3,received,BRL,22532.32,22532.32,2020-02-26 02:44:53,2020-02-29,2020-02-26 02:44:53,2020-02-26 02:44:53
21,PO-000021,7,13,1,received,BRL,106677.92,106677.92,2022-12-21 13:34:56,,2022-12-21 13:34:56,2022-12-21 13:34:56
22,PO-000022,25,5,6,received,BRL,50435.34,50435.34,2020-01-12 08:10:20,2020-02-14,2020-01-12 08:10:20,2020-01-12 08:10:20
23,PO-000023,14,13,3,received,BRL,146701.24,146701.24,2022-03-17 00:20:17,2022-04-17,2022-03-17 00:20:17,2022-03-17 00:20:17
24,PO-000024,6,13,6,partially_received,BRL,171359.93,171359.93,2025-02-03 17:44:15,2025-02-26,2025-02-03 17:44:15,2025-02-03 17:44:15
25,PO-000025,7,13,5,partially_received,BRL,163314.22,163314.22,2022-09-25 19:14:33,2022-10-13,2022-09-25 19:14:33,2022-09-25 19:14:33
26,PO-000026,22,13,4,sent,BRL,74515.62,74515.62,2021-05-14 01:28:16,2021-06-25,2021-05-14 01:28:16,2021-05-14 01:28:16
27,PO-000027,9,5,2,received,BRL,47438.07,47438.07,2023-09-21 15:56:16,2023-11-17,2023-09-21 15:56:16,2023-09-21 15:56:16
28,PO-000028,18,13,3,received,BRL,199863.93,199863.93,2025-07-16 05:41:19,2025-08-27,2025-07-16 05:41:19,2025-07-16 05:41:19
29,PO-000029,4,13,3,partially_received,BRL,73090.17,73090.17,2025-12-21 06:50:52,2026-01-26,2025-12-21 06:50:52,2025-12-21 06:50:52
30,PO-000030,24,5,3,partially_received,BRL,10681.23,10681.23,2026-09-14 19:08:25,2026-09-18,2026-09-14 19:08:25,2026-09-14 19:08:25
31,PO-000031,24,13,5,received,BRL,114726.11,114726.11,2026-10-24 08:49:40,2026-10-29,2026-10-24 08:49:40,2026-10-24 08:49:40
32,PO-000032,12,5,2,received,EUR,146249.48,146249.48,2025-10-24 10:57:04,2025-11-26,2025-10-24 10:57:04,2025-10-24 10:57:04
33,PO-000033,10,13,1,cancelled,BRL,65490.46,65490.46,2025-09-12 11:24:56,2025-10-07,2025-09-12 11:24:56,2025-09-12 11:24:56
34,PO-000034,1,13,2,received,BRL,225687.02,225687.02,2023-09-14 06:14:30,,2023-09-14 06:14:30,2023-09-14 06:14:30
35,PO-000035,2,13,2,received,BRL,10703.50,10703.50,2022-07-26 13:40:28,2022-08-23,2022-07-26 13:40:28,2022-07-26 13:40:28
36,PO-000036,2,5,3,draft,BRL,191786.72,191786.72,2026-08-25 21:10:21,,2026-08-25 21:10:21,2026-08-25 21:10:21
37,PO-000037,2,5,3,received,BRL,88647.88,88647.88,2025-09-03 21:24:10,2025-09-09,2025-09-03 21:24:10,2025-09-03 21:24:10
38,PO-000038,19,13,3,received,BRL,51921.33,51921.33,2020-07-24 16:43:43,2020-07-30,2020-07-24 16:43:43,2020-07-24 16:43:43
39,PO-000039,15,13,6,received,BRL,199627.98,199627.98,2024-10-07 15:54:29,2024-10-30,2024-10-07 15:54:29,2024-10-07 15:54:29
40,PO-000040,23,13,3,partially_received,BRL,91731.59,91731.59,2025-10-01 09:29:38,2025-11-18,2025-10-01 09:29:38,2025-10-01 09:29:38
41,PO-000041,24,13,3,received,BRL,21578.40,21578.40,2020-02-07 03:28:23,,2020-02-07 03:28:23,2020-02-07 03:28:23
42,PO-000042,9,13,2,partially_received,BRL,113281.26,113281.26,2026-09-29 01:59:08,2026-11-26,2026-09-29 01:59:08,2026-09-29 01:59:08
43,PO-000043,21,5,5,partially_received,BRL,95662.14,95662.14,2026-09-16 01:19:26,2026-10-30,2026-09-16 01:19:26,2026-09-16 01:19:26
44,PO-000044,22,13,3,cancelled,BRL,2437.02,2437.02,2023-01-21 16:46:43,2023-01-30,2023-01-21 16:46:43,2023-01-21 16:46:43
45,PO-000045,23,5,3,partially_received,BRL,118864.81,118864.81,2026-09-10 12:39:10,2026-11-03,2026-09-10 12:39:10,2026-09-10 12:39:10
46,PO-000046,6,5,4,sent,BRL,174657.16,174657.16,2024-01-15 19:14:18,2024-03-06,2024-01-15 19:14:18,2024-01-15 19:14:18
47,PO-000047,17,5,2,sent,BRL,102462.78,102462.78,2023-08-29 14:52:01,,2023-08-29 14:52:01,2023-08-29 14:52:01
48,PO-000048,4,5,1,received,BRL,83110.00,83110.00,2025-12-19 14:15:18,2026-02-07,2025-12-19 14:15:18,2025-12-19 14:15:18
49,PO-000049,20,13,4,sent,BRL,124198.17,124198.17,2026-03-11 15:14:54,2026-04-11,2026-03-11 15:14:54,2026-03-11 15:14:54
50,PO-000050,14,5,3,received,BRL,48694.65,48694.65,2025-12-13 19:47:36,2026-01-20,2025-12-13 19:47:36,2025-12-13 19:47:36
51,PO-000051,21,13,3,partially_received,BRL,103369.19,103369.19,2022-07-02 18:19:55,2022-08-21,2022-07-02 18:19:55,2022-07-02 18:19:55
52,PO-000052,18,13,2,received,BRL,25930.66,25930.66,2025-08-05 20:48:12,,2025-08-05 20:48:12,2025-08-05 20:48:12
53,PO-000053,4,13,2,received,BRL,52609.68,52609.68,2021-07-20 04:14:57,,2021-07-20 04:14:57,2021-07-20 04:14:57
54,PO-000054,1,13,1,partially_received,BRL,153467.84,153467.84,2021-07-21 04:24:20,,2021-07-21 04:24:20,2021-07-21 04:24:20
55,PO-000055,7,5,1,received,BRL,60762.63,60762.63,2020-06-26 13:00:22,2020-07-31,2020-06-26 13:00:22,2020-06-26 13:00:22
56,PO-000056,13,13,5,received,BRL,32540.53,32540.53,2023-02-25 13:07:08,2023-04-10,2023-02-25 13:07:08,2023-02-25 13:07:08
57,PO-000057,21,13,5,received,BRL,102432.00,102432.00,2026-09-21 05:50:26,2026-09-25,2026-09-21 05:50:26,2026-09-21 05:50:26
58,PO-000058,12,13,6,cancelled,BRL,18798.12,18798.12,2025-08-30 08:17:03,2025-10-04,2025-08-30 08:17:03,2025-08-30 08:17:03
59,PO-000059,18,13,3,received,BRL,43127.91,43127.91,2021-02-28 07:30:43,2021-04-09,2021-02-28 07:30:43,2021-02-28 07:30:43
60,PO-000060,14,5,5,received,BRL,55620.19,55620.19,2020-07-01 13:33:10,,2020-07-01 13:33:10,2020-07-01 13:33:10
61,PO-000061,18,13,4,received,BRL,12968.70,12968.70,2025-11-01 19:15:22,2025-12-26,2025-11-01 19:15:22,2025-11-01 19:15:22
62,PO-000062,20,5,1,sent,BRL,1619.93,1619.93,2021-05-10 19:49:50,2021-05-19,2021-05-10 19:49:50,2021-05-10 19:49:50
63,PO-000063,24,13,2,received,BRL,106034.80,106034.80,2023-09-02 03:02:43,,2023-09-02 03:02:43,2023-09-02 03:02:43
64,PO-000064,15,13,3,received,BRL,29027.12,29027.12,2022-10-23 00:04:00,2022-11-19,2022-10-23 00:04:00,2022-10-23 00:04:00
65,PO-000065,15,5,2,sent,BRL,9884.48,9884.48,2022-08-26 20:04:11,2022-09-23,2022-08-26 20:04:11,2022-08-26 20:04:11
66,PO-000066,7,13,5,received,BRL,37129.86,37129.86,2020-11-28 11:50:48,2020-12-28,2020-11-28 11:50:48,2020-11-28 11:50:48
67,PO-000067,13,5,5,received,BRL,29519.05,29519.05,2025-10-12 23:22:01,2025-11-27,2025-10-12 23:22:01,2025-10-12 23:22:01
68,PO-000068,4,5,1,received,BRL,123613.61,123613.61,2022-06-12 04:54:05,2022-07-25,2022-06-12 04:54:05,2022-06-12 04:54:05
69,PO-000069,14,13,6,draft,BRL,80370.12,80370.12,2025-11-16 02:20:19,,2025-11-16 02:20:19,2025-11-16 02:20:19
70,PO-000070,3,13,1,sent,BRL,6521.46,6521.46,2023-03-27 09:36:08,2023-05-26,2023-03-27 09:36:08,2023-03-27 09:36:08
71,PO-000071,20,13,6,partially_received,BRL,93307.87,93307.87,2020-05-19 13:40:56,2020-05-23,2020-05-19 13:40:56,2020-05-19 13:40:56
72,PO-000072,16,13,4,received,BRL,110417.21,110417.21,2024-01-20 06:04:59,2024-03-10,2024-01-20 06:04:59,2024-01-20 06:04:59
73,PO-000073,19,13,1,received,BRL,40708.00,40708.00,2022-09-29 04:59:46,2022-10-09,2022-09-29 04:59:46,2022-09-29 04:59:46
74,PO-000074,6,13,5,received,BRL,127286.73,127286.73,2026-02-09 12:25:54,2026-03-11,2026-02-09 12:25:54,2026-02-09 12:25:54
75,PO-000075,21,13,4,draft,BRL,137751.38,137751.38,2025-06-04 14:10:33,2025-07-28,2025-06-04 14:10:33,2025-06-04 14:10:33
76,PO-000076,25,13,5,received,BRL,119016.37,119016.37,2024-01-19 15:59:33,2024-02-09,2024-01-19 15:59:33,2024-01-19 15:59:33
77,PO-000077,22,13,6,sent,BRL,126035.21,126035.21,2023-02-19 10:20:55,2023-03-25,2023-02-19 10:20:55,2023-02-19 10:20:55
78,PO-000078,23,5,5,received,BRL,25706.81,25706.81,2025-03-06 13:43:17,2025-03-14,2025-03-06 13:43:17,2025-03-06 13:43:17
79,PO-000079,9,13,4,received,BRL,14302.90,14302.90,2026-09-04 18:03:43,2026-10-11,2026-09-04 18:03:43,2026-09-04 18:03:43
80,PO-000080,20,5,1,received,BRL,28278.96,28278.96,2026-08-24 12:32:48,2026-10-17,2026-08-24 12:32:48,2026-08-24 12:32:48
