id,return_id,order_item_id,quantity,action,exchange_variant_id,unit_refund_amount
1,1,129232,5,refund,,1200.87
2,2,147166,1.000,refund,,2277.61
3,2,147164,2,exchange,900,0.00
4,3,14624,6,refund,,3163.03
5,4,78070,6,exchange,418,0.00
6,5,115534,2,refund,,2535.80
7,6,56592,4,refund,,3447.79
8,7,134056,1,refund,,1770.44
9,8,131067,8,exchange,339,0.00
10,9,69545,2,refund,,1370.36
11,10,13412,4,refund,,69.33
12,11,109657,3,exchange,254,0.00
13,11,109656,2,exchange,680,0.00
14,12,9541,3,exchange,548,0.00
15,13,31122,4,refund,,431.48
16,13,31121,7,exchange,122,0.00
17,14,25263,1,refund,,3536.51
18,14,25265,1,refund,,2433.21
19,15,125252,1.000,refund,,1603.57
20,15,125249,3,refund,,2403.32
21,16,9822,4,refund,,1140.17
22,16,9820,3,refund,,3751.57
23,17,117041,1,refund,,3045.41
24,18,39898,6,refund,,544.34
25,18,39897,3,refund,,1360.44
26,19,23930,1.000,refund,,2013.71
27,20,52640,6,exchange,63,0.00
28,20,52641,1.000,refund,,1826.97
29,21,77806,3,refund,,1610.84
30,22,125370,1,refund,,3536.51
31,23,130117,4,exchange,815,0.00
32,23,130118,3,refund,,409.45
33,24,12892,1,exchange,946,0.00
34,24,12893,1.000,exchange,658,0.00
35,25,117746,7,refund,,2692.10
36,26,22526,8,refund,,1371.86
37,27,10863,8,refund,,2276.42
38,28,62308,8,refund,,672.80
39,29,98656,1.000,refund,,1276.93
40,30,5121,8,refund,,1310.13
41,31,129126,9,exchange,322,0.00
42,32,78165,1.000,refund,,2501.65
43,32,78164,4,exchange,655,0.00
44,33,549,5,refund,,695.61
45,34,149000,4,refund,,1475.54
46,34,148999,2,refund,,1178.62
47,35,2609,1,exchange,239,0.00
48,36,132215,2,refund,,1006.34
49,36,132217,1,refund,,516.75
50,37,974,5,exchange,597,0.00
51,38,131304,3,refund,,2637.77
52,38,131303,6,refund,,2659.65
53,39,129707,2,refund,,2481.91
54,40,62089,2,refund,,1102.60
55,40,62088,2,refund,,407.01
56,41,42223,2,refund,,1854.12
57,42,27890,2,refund,,806.12
58,43,12470,1,refund,,539.43
59,43,12468,3,exchange,341,0.00
60,44,141063,2,refund,,1048.92
61,45,59897,6,refund,,1094.61
63,47,34998,1,exchange,985,0.00
64,47,34996,1.000,refund,,2156.00
65,48,57016,2,refund,,1433.22
66,49,138847,1.000,refund,,1813.06
67,49,138848,1.000,refund,,3065.65
68,50,38265,1,refund,,391.94
69,50,38268,2,exchange,366,0.00
70,51,78215,8,refund,,3372.27
71,52,140675,4,refund,,1724.28
72,52,140677,5,refund,,1609.83
73,53,133096,4,refund,,1726.63
74,53,133095,1,refund,,2036.26
75,54,96221,6,exchange,570,0.00
76,54,96222,2,refund,,103.95
77,55,75475,1.000,refund,,2138.38
78,56,70067,4,refund,,1848.51
79,56,70068,1,refund,,2247.99
80,57,101340,5,refund,,2601.68
81,58,95934,4,refund,,1674.37
82,58,95933,1.000,refund,,2063.82
83,59,149108,1,refund,,2526.33
84,59,149111,1,exchange,712,0.00
85,60,120389,7,refund,,2809.14
86,60,120388,1.000,refund,,2640.24
87,61,84725,8,refund,,2632.87
88,62,16940,1,refund,,314.18
89,62,16944,2,refund,,3648.57
90,63,89655,2,exchange,688,0.00
91,63,89653,8,refund,,1307.41
92,64,98092,7,refund,,2142.50
93,64,98093,1.000,exchange,849,0.00
94,65,98907,1,refund,,3685.42
95,66,110556,1,refund,,1035.00
96,66,110557,1.000,refund,,2084.13
97,67,106968,1,refund,,1028.21
98,68,1836,1,refund,,522.87
99,69,139163,2,exchange,492,0.00
100,69,139164,10,refund,,2552.53
101,70,16110,1.000,exchange,412,0.00
102,71,68736,3,refund,,208.08
103,71,68735,2,refund,,242.94
104,72,23115,4,refund,,1320.30
105,72,23114,6,refund,,2916.30
106,73,61414,6,refund,,538.89
107,74,19140,8,refund,,190.17
108,74,19141,6,exchange,636,0.00
109,75,76864,7,refund,,3892.05
110,75,76867,2,refund,,2108.46
111,76,80293,6,exchange,311,0.00
112,76,80294,1,exchange,993,0.00
113,77,91080,2,refund,,1536.13
114,78,46079,2,refund,,2133.34
117,80,39563,2,refund,,1472.59
118,81,62740,3,exchange,665,0.00
119,81,62738,1,refund,,2301.52
120,82,145917,4,exchange,659,0.00
121,83,60917,1,refund,,2402.23
122,84,113087,8,exchange,300,0.00
123,85,115540,3,refund,,1737.68
124,86,9684,1.000,refund,,3529.00
125,87,56980,1,refund,,2963.37
126,88,58716,1,refund,,2868.84
127,89,122471,3,refund,,3280.48
128,89,122470,6,exchange,996,0.00
129,90,145825,7,refund,,1838.76
130,91,141379,2,refund,,2979.20
131,92,44351,1.000,refund,,1621.91
132,93,101520,1,refund,,3730.87
133,93,101518,4,refund,,654.46
134,94,29297,1,refund,,52.57
135,95,80977,4,refund,,869.52
136,96,131479,1,refund,,3685.42
137,96,131478,2,refund,,3084.28
138,97,107620,4,exchange,481,0.00
139,97,107621,2,refund,,69.33
140,98,126717,3,refund,,2565.48
141,99,17807,1.000,refund,,1653.20
142,100,114772,7,exchange,715,0.00
143,100,114771,3,refund,,711.87
144,101,138915,2,refund,,916.04
145,102,146462,1,refund,,658.74
146,103,126267,1.000,refund,,2300.24
147,104,10111,3,refund,,2179.03
148,105,23650,4,exchange,692,0.00
149,106,104827,1,refund,,2563.85
150,107,67043,5,exchange,452,0.00
151,108,136529,1.000,exchange,804,0.00
152,109,59224,5,refund,,1891.34
153,109,59225,3,refund,,3040.55
154,110,121721,4,refund,,1625.59
155,111,145094,1,exchange,532,0.00
156,112,98014,3,refund,,1432.75
157,112,98013,1.000,refund,,1729.09
158,113,125973,1.000,exchange,148,0.00
159,113,125974,1.000,refund,,1362.27
160,114,83359,2,refund,,1380.77
161,115,53805,1,refund,,1149.14
162,116,79769,1,exchange,809,0.00
163,116,79766,2,refund,,2839.11
164,117,89236,7,refund,,2364.78
165,118,38858,4,refund,,1609.83
166,119,108184,5,refund,,4026.81
167,119,108187,2,exchange,969,0.00
168,120,1625,2,refund,,1920.15
169,121,22740,1,refund,,2118.14
170,121,22736,1.000,refund,,2665.92
171,122,10244,3,refund,,2758.20
172,122,10242,1,exchange,868,0.00
173,123,80830,4,refund,,1609.83
174,123,80829,7,refund,,103.11
175,124,147334,2,refund,,1069.38
176,124,147336,1,exchange,483,0.00
177,125,129947,1,refund,,36.65
178,126,112069,1,refund,,2247.99
179,127,99445,1,refund,,594.44
180,128,45453,2,exchange,308,0.00
181,129,98449,3,exchange,877,0.00
182,130,45016,2,refund,,1466.35
183,130,45017,1,refund,,1370.36
184,131,80446,1.000,exchange,266,0.00
185,132,146120,3,refund,,960.29
186,133,21163,8,refund,,2148.39
187,134,80839,3,refund,,1486.53
188,135,24518,1,refund,,2783.63
189,136,5539,6,exchange,187,0.00
190,137,36757,1,exchange,334,0.00
191,138,53003,6,exchange,868,0.00
192,139,140063,4,refund,,431.48
193,140,47865,5,exchange,453,0.00
194,140,47864,5,refund,,3107.16
195,141,107904,2,exchange,834,0.00
196,141,107903,1,refund,,2363.80
197,142,68638,10,refund,,1038.60
198,142,68637,4,exchange,760,0.00
199,143,33486,2,refund,,2433.05
200,144,19728,3,refund,,1628.81
201,144,19729,1,refund,,1343.06
202,145,19623,2,exchange,974,0.00
203,146,39208,2,refund,,1854.12
204,147,19723,5,refund,,544.34
205,148,129743,1,exchange,182,0.00
206,149,74832,4,exchange,991,0.00
207,150,113846,3,refund,,3685.42
208,151,89056,1,refund,,964.88
209,151,89058,3,exchange,346,0.00
211,153,16206,1.000,refund,,920.67
212,154,62571,2,refund,,380.46
213,155,14092,8,refund,,2156.00
214,155,14091,1.000,exchange,533,0.00
215,156,79712,3,refund,,2704.24
216,156,79713,2,exchange,145,0.00
217,157,15475,5,refund,,1858.79
218,158,29022,2,refund,,1252.68
219,158,29021,4,refund,,2412.74
220,159,113530,1.000,refund,,868.09
221,160,57234,1.000,refund,,1425.15
222,160,57232,1.000,exchange,868,0.00
223,161,134784,1,refund,,865.53
224,162,37368,1,refund,,2079.95
225,163,102291,2,exchange,5,0.00
