id,return_number,order_id,customer_id,received_at_location_id,status,reason,total_refund_amount,created_at,updated_at
1,RT-000001,42945,484,3,cancelled,Produto avariado no transporte,6004.35,2026-04-25 22:45:38,2026-04-25 22:45:38
2,RT-000002,48935,741,1,completed,Item não corresponde à descrição,2277.61,2025-01-08 10:45:17,2025-01-08 10:45:17
3,RT-000003,4826,519,5,open,Tamanho/cor incorretos,18978.18,2025-02-13 02:57:06,2025-02-13 02:57:06
4,RT-000004,25838,1688,5,open,Produto com defeito de fábrica,0.00,2026-02-28 16:12:35,2026-02-28 16:12:35
5,RT-000005,38391,1215,6,completed,Tamanho/cor incorretos,5071.60,2023-08-30 01:50:35,2023-08-30 01:50:35
6,RT-000006,18701,1175,2,completed,Cliente desistiu da compra,13791.16,2026-05-01 13:07:05,2026-05-01 13:07:05
7,RT-000007,44586,1654,1,completed,Compra duplicada,1770.44,2024-02-03 00:19:13,2024-02-03 00:19:13
8,RT-000008,43574,619,1,completed,Tamanho/cor incorretos,0.00,2022-02-07 14:05:58,2022-02-07 14:05:58
9,RT-000009,23031,729,5,completed,Tamanho/coor incorretos,2740.72,2021-03-02 13:05:46,2021-03-02 13:05:46
10,RT-000010,4433,649,1,completed,Item não corresponde à descrição,277.32,2020-12-03 06:57:08,2020-12-03 06:57:08
11,RT-000011,36423,251,3,completed,Produto avariado no transporte,0.00,2026-10-01 11:28:39,2026-10-01 11:28:39
12,RT-000012,3143,869,4,completed,Tamanho/cor incorretos,0.00,2023-01-13 02:36:59,2023-01-13 02:36:59
13,RT-000013,10285,205,5,completed,Cliente desistiu da compra,1725.92,2025-02-09 10:08:04,2025-02-09 10:08:04
14,RT-000014,8371,747,6,completed,Item não corresponde à descrição,5969.72,2025-02-07 04:08:19,2025-02-07 04:08:19
15,RT-000015,41621,1959,1,open,Item não corresponde à descrição,8813.53,2027-01-13 09:34:49,2027-01-13 09:34:49
16,RT-000016,3234,1127,1,completed,Produto com defeito de fábrica,15815.39,2025-11-10 03:18:23,2025-11-10 03:18:23
17,RT-000017,38909,622,1,completed,Cliente desistiu da compra,3045.41,2023-12-04 02:42:18,2023-12-04 02:42:18
18,RT-000018,13227,446,3,completed,Produto com defeito de fábrica,7347.36,2026-11-24 09:45:37,2026-11-24 09:45:37
19,RT-000019,7924,1372,4,completed,Tamanho/cor incorretos,2013.71,2021-02-26 07:23:22,2021-02-26 07:23:22
20,RT-000020,17401,133,5,completed,Produto avariado no transporte,1826.97,2022-11-28 14:04:48,2022-11-28 14:04:48
21,RT-000021,25748,261,4,completed,Tamanho/cor incorretos,4832.52,2024-02-02 13:31:30,2024-02-02 13:31:30
