product_variant_id,attribute_id,value
1,4,456.5
1,8,PVC
1,5,84.9
2,7,true
2,6,407.0
2,4,420.2
3,3,118.6
3,8,Náilon
3,5,368.8
4,5,144.7
5,7,false
5,2,G
5,6,447.8
6,4,333.8
6,7,false
6,5,22.7
7,4,297.6
7,8,Inox
7,5,242.9
8,3,99.8
8,7,false
9,6,287.8
9,1,Branco
10,1,Cinza
10,8,Alumínio
10,3,95.6
11,5,129.2
11,2,M
11,4,214.5
12,4,247.4
12,2,XG
13,1,Branco
13,3,292.8
14,5,106.0
15,2,XG
16,6,416.4
17,5,180.3
17,3,87.8
17,1,Preto
18,3,4388.4
18,6,213.3
19,3,2268.0
20,6,310.1
20,4,90.5
21,7,true
21,6,27.3
22,1,Branco
22,3,14.0
22,7,true
23,8,Náilon
23,4,343.6
23,1,Branco
24,4,.
24,5,41.5
25,8,Inox
25,5,??
25,1,Azul
26,2,G
26,1,Vermelho
27,1,test
27,7,false
28,6,297.9
28,4,84.2
28,3,308.77
29,4,145.6
29,2,M
30,4,445.1
30,2,G
31,4,143.7
31,3,290.1
32,1,Preto
32,6,307.3
32,7,true
33,8,Náilon
33,5,209.7
33,7,false
34,5,427.0
35,5,491.7
36,7,true
36,1,Preto
37,8,Fibra de Vidro
38,7,false
38,1,TODO
39,2,GG
40,5,305.7
40,8,PVC
40,4,244.9
41,5,149.4
42,7,false
43,8,Náilon
44,4,375.0
44,8,Fibra de Vidro
44,1,Branco
45,6,241.6
45,7,false
45,1,Verde
46,6,164.9
46,4,332.2
46,1,Cinza
47,1,Vermelho
48,1,Branco
48,3,411.9
49,5,1148
50,4,433.4
50,2,M
51,1,Preto
52,4,.
52,2,M
52,3,191.6
53,1,Verde
53,7,false
54,2,XG
55,5,287.5
55,4,173.6
56,8,PVC
56,4,69.3
56,7,true
57,1,Vermelho
58,1,Azul
58,7,true
58,3,143.9
59,2,M
59,8,Náilon
60,2,M
61,6,173.3
62,7,true
63,1,Preto
63,5,449.5
64,7,true
65,6,198.2
66,6,54.3
66,7,false
66,2,XG
67,5,406.0
68,4,348.4
69,6,195.4
69,3,373.4
70,8,Fibra de Vidro
70,2,M
70,4,499.7
71,3,N/A
71,8,Inox
71,1,Branco
72,1,Preto
73,4,67.7
73,7,true
73,3,123.9
74,1,Branco
74,6,432.4
